"species.x","preferred_species_name.x","tvk","species.y","preferred_species_name.y","recording_period","additional_checks_required","id_difficulty.x","id_difficulty.y"
"Adalia bipunctata","Adalia bipunctata","NBNSYS0000008319","Adalia bipunctata","Adalia bipunctata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Adalia decempunctata","Adalia decempunctata","NBNSYS0000008320","Adalia decempunctata","Adalia decempunctata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Anatis ocellata","Anatis ocellata","NBNSYS0000008327","Anatis ocellata","Anatis ocellata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Anisosticta novemdecimpunctata","Anisosticta novemdecimpunctata","NBNSYS0000008316","Anisosticta novemdecimpunctata","Anisosticta novemdecimpunctata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Aphidecta obliterata","Aphidecta obliterata","NBNSYS0000008317","Aphidecta obliterata","Aphidecta obliterata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Calvia quattuordecimguttata","Calvia quattuordecimguttata","NBNSYS0000008329","Calvia quattuordecimguttata","Calvia quattuordecimguttata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Chilocorus bipustulatus","Chilocorus bipustulatus","NBNSYS0000008309","Chilocorus bipustulatus","Chilocorus bipustulatus","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Chilocorus renipustulatus","Chilocorus renipustulatus","NBNSYS0000008310","Chilocorus renipustulatus","Chilocorus renipustulatus","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Clitostethus arcuatus","Clitostethus arcuatus","NBNSYS0000008293","Clitostethus arcuatus","Clitostethus arcuatus","1800-01-01 to present","1: This is a rare ladybird species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Coccidula rufa","Coccidula rufa","NBNSYS0000008290","Coccidula rufa","Coccidula rufa","1800-01-01 to present",,"2: Can be identified in the field with care and experience. May be identifiable from a good photo.",
"Coccidula scutellata","Coccidula scutellata","NBNSYS0000008291","Coccidula scutellata","Coccidula scutellata","1800-01-01 to present",,"2: Can be identified in the field with care and experience. May be identifiable from a good photo.",
"Coccinella hieroglyphica","Coccinella hieroglyphica","NBNSYS0000008322","Coccinella hieroglyphica","Coccinella hieroglyphica","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Coccinella magnifica","Coccinella magnifica","NBNSYS0000008321","Coccinella magnifica","Coccinella magnifica","1800-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Coccinella quinquepunctata","Coccinella quinquepunctata","NBNSYS0000008323","Coccinella quinquepunctata","Coccinella quinquepunctata","1800-01-01 to present","1: This is a rare ladybird species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Coccinella septempunctata","Coccinella septempunctata","NBNSYS0000008324","Coccinella septempunctata","Coccinella septempunctata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Coccinella undecimpunctata","Coccinella undecimpunctata","NBNSYS0000008325","Coccinella undecimpunctata","Coccinella undecimpunctata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Cryptolaemus montrouzieri","Cryptolaemus montrouzieri","NHMSYS0020151871","Cryptolaemus montrouzieri","Cryptolaemus montrouzieri","2007-01-01 to present","1: This is a rare ladybird species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Exochomus nigromaculatus","Exochomus nigromaculatus","NBNSYS0000008311","Exochomus nigromaculatus","Exochomus nigromaculatus","1800-01-01 to present","2: Records for this ladybird must always be verified (rarity, occasional visitors, new arrivals)","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Exochomus quadripustulatus","Exochomus quadripustulatus","NBNSYS0000008312","Exochomus quadripustulatus","Exochomus quadripustulatus","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Halyzia sedecimguttata","Halyzia sedecimguttata","NBNSYS0000008332","Halyzia sedecimguttata","Halyzia sedecimguttata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Harmonia axyridis","Harmonia axyridis","NHMSYS0000712592","Harmonia axyridis","Harmonia axyridis","2004-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Harmonia quadripunctata","Harmonia quadripunctata","NBNSYS0000008326","Harmonia quadripunctata","Harmonia quadripunctata","1937-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Henosepilachna argus","Henosepilachna argus","NHMSYS0020152260","Henosepilachna argus","Henosepilachna argus","1997-01-01 to present","1: This is a rare ladybird species","1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Hippodamia tredecimpunctata","Hippodamia tredecimpunctata","NBNSYS0000008313","Hippodamia tredecimpunctata","Hippodamia tredecimpunctata","1800-01-01 to present","2: Records for this ladybird must always be verified (rarity, occasional visitors, new arrivals)","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Hippodamia variegata","Hippodamia variegata","NBNSYS0000008315","Hippodamia variegata","Hippodamia variegata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Hyperaspis pseudopustulata","Hyperaspis pseudopustulata","NBNSYS0000008307","Hyperaspis pseudopustulata","Hyperaspis pseudopustulata","1800-01-01 to present",,"2: Can be identified in the field with care and experience. May be identifiable from a good photo.",
"Myrrha octodecimguttata","Myrrha octodecimguttata","NBNSYS0000008328","Myrrha octodecimguttata","Myrrha octodecimguttata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Myzia oblongoguttata","Myzia oblongoguttata","NBNSYS0000008331","Myzia oblongoguttata","Myzia oblongoguttata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Nephus bisignatus","Nephus bisignatus","NBNSYS0000008304","Nephus bisignatus","Nephus bisignatus","1800-01-01 to present","2: Records for this ladybird must always be verified (rarity, occasional visitors, new arrivals)","4: Species needs confirmation from national expert or UK Ladybird Survey.",
"Nephus quadrimaculatus","Nephus quadrimaculatus","NBNSYS0000008305","Nephus quadrimaculatus","Nephus quadrimaculatus","1800-01-01 to present","1: This is a rare ladybird species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Platynaspis luteorubra","Platynaspis luteorubra","NBNSYS0000008308","Platynaspis luteorubra","Platynaspis luteorubra","1800-01-01 to present",,"2: Can be identified in the field with care and experience. May be identifiable from a good photo.",
"Propylea quattuordecimpunctata","Propylea quattuordecimpunctata","NBNSYS0000008330","Propylea quattuordecimpunctata","Propylea quattuordecimpunctata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Psyllobora vigintiduopunctata","Psyllobora vigintiduopunctata","NBNSYS0000008334","Psyllobora vigintiduopunctata","Psyllobora vigintiduopunctata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Rhyzobius chrysomeloides","Rhyzobius chrysomeloides","NHMSYS0020153335","Rhyzobius chrysomeloides","Rhyzobius chrysomeloides","1996-01-01 to present","1: This is a rare ladybird species","4: Species needs confirmation from national expert or UK Ladybird Survey.",
"Rhyzobius litura","Rhyzobius litura","NHMSYS0020153336","Rhyzobius litura","Rhyzobius litura","1800-01-01 to present",,"2: Can be identified in the field with care and experience. May be identifiable from a good photo.",
"Rhyzobius lophanthae","Rhyzobius lophanthae","NHMSYS0020153337","Rhyzobius lophanthae","Rhyzobius lophanthae","1999-01-01 to present","1: This is a rare ladybird species","4: Species needs confirmation from national expert or UK Ladybird Survey.",
"Rodolia cardinalis","Rodolia cardinalis","NHMSYS0020153342","Rodolia cardinalis","Rodolia cardinalis","2003-01-01 to present","2: Records for this ladybird must always be verified (rarity, occasional visitors, new arrivals)","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Scymnus auritus","Scymnus auritus","NBNSYS0000008299","Scymnus auritus","Scymnus auritus","1800-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Scymnus femoralis","Scymnus femoralis","NBNSYS0000008295","Scymnus femoralis","Scymnus femoralis","1800-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Scymnus frontalis","Scymnus frontalis","NBNSYS0000008296","Scymnus frontalis","Scymnus frontalis","1800-01-01 to present",,"2: Can be identified in the field with care and experience. May be identifiable from a good photo.",
"Scymnus haemorrhoidalis","Scymnus haemorrhoidalis","NBNSYS0000008300","Scymnus haemorrhoidalis","Scymnus haemorrhoidalis","1800-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Scymnus interruptus","Scymnus interruptus","NHMSYS0020920019","Scymnus interruptus","Scymnus interruptus","1996-01-01 to present","1: This is a rare ladybird species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Scymnus limbatus","Scymnus limbatus","NBNSYS0000008302","Scymnus limbatus","Scymnus limbatus","1800-01-01 to present","1: This is a rare ladybird species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Scymnus nigrinus","Scymnus nigrinus","NBNSYS0000008297","Scymnus nigrinus","Scymnus nigrinus","1908-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Scymnus rubromaculatus","Scymnus rubromaculatus","NHMSYS0021233083","Scymnus rubromaculatus","Scymnus rubromaculatus","1961-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Scymnus schmidti","Scymnus schmidti","NBNSYS0000008298","Scymnus schmidti","Scymnus schmidti","1800-01-01 to present",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Scymnus suturalis","Scymnus suturalis","NBNSYS0000008303","Scymnus suturalis","Scymnus suturalis","1902-01-01 to present",,"2: Can be identified in the field with care and experience. May be identifiable from a good photo.",
"Subcoccinella vigintiquattuorpunctata","Subcoccinella vigintiquattuorpunctata","NBNSYS0000008289","Subcoccinella vigintiquattuorpunctata","Subcoccinella vigintiquattuorpunctata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Tytthaspis sedecimpunctata","Tytthaspis sedecimpunctata","NBNSYS0000008318","Tytthaspis sedecimpunctata","Tytthaspis sedecimpunctata","1800-01-01 to present",,"1: Can be identified in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo.",
"Vibidia duodecimguttata","Vibidia duodecimguttata","NBNSYS0000008333","Vibidia duodecimguttata","Vibidia duodecimguttata","1839-01-01 to present","2: Records for this ladybird must always be verified (rarity, occasional visitors, new arrivals)","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder or UK Ladybird Survey.",
"Apatania muliebris","Apatania muliebris","NBNSYS0000008439",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Apatania wallengreni","Apatania wallengreni","NBNSYS0000008441",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Beraea maurus","Beraea maurus","NBNSYS0000008501",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Beraea pullata","Beraea pullata","NBNSYS0000008502",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Beraeidae","Beraeidae","NBNSYS0000159496",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Beraeodes minutus","Beraeodes minutus","NBNSYS0000008503",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Ernodes articularis","Ernodes articularis","NBNSYS0000008504",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Brachycentrus subnubilus","Brachycentrus subnubilus","NBNSYS0000008433",,,,,,"1: Anyone can ID with rudimentary knowledge.  Identifiable from photos"
"Ecnomus tenellus","Ecnomus tenellus","NBNSYS0000008397",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agapetus delicatulus","Agapetus delicatulus","NBNSYS0000008346",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agapetus fuscipes","Agapetus fuscipes","NBNSYS0000008347",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agapetus ochripes","Agapetus ochripes","NBNSYS0000008348",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Glossosoma boltoni","Glossosoma boltoni","NBNSYS0000008343",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Glossosoma conformis","Glossosoma conformis","NBNSYS0000008344",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Glossosoma intermedium","Glossosoma intermedium","NBNSYS0000008345",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Goera pilosa","Goera pilosa","NHMSYS0020704791",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Goeridae","Goeridae","NBNSYS0000042269",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Silo nigricornis","Silo nigricornis","NBNSYS0000008499",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Silo pallipes","Silo pallipes","NHMSYS0020704837",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Cheumatopsyche lepida","Cheumatopsyche lepida","NBNSYS0000008412",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Diplectrona felix","Diplectrona felix","NBNSYS0000008422",,,,,,"2: Can be identified with experience.  Identifiable by expert from photos"
"Hydropsyche","Hydropsyche","NHMSYS0020704798",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche angustipennis","Hydropsyche angustipennis","NBNSYS0000008413",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche bulgaromanorum","Hydropsyche bulgaromanorum","NBNSYS0000008414",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche contubernalis","Hydropsyche contubernalis","NBNSYS0000008415",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydropsyche exocellata","Hydropsyche exocellata","NBNSYS0000008416",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydropsyche fulvipes","Hydropsyche fulvipes","NBNSYS0000008417",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche instabilis","Hydropsyche instabilis","NBNSYS0000008418",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche pellucidula","Hydropsyche pellucidula","NBNSYS0000008419",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche saxonica","Hydropsyche saxonica","NBNSYS0000008420",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsyche siltalai","Hydropsyche siltalai","NBNSYS0000008421",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydropsychidae","Hydropsychidae","NBNSYS0000042280",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agraylea multipunctata","Agraylea multipunctata","NBNSYS0000008349",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Agraylea sexmaculata","Agraylea sexmaculata","NBNSYS0000008350",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Allotrichia pallicornis","Allotrichia pallicornis","NBNSYS0000008351",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila angulata","Hydroptila angulata","NBNSYS0000008352",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila cornuta","Hydroptila cornuta","NBNSYS0000008353",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila forcipata","Hydroptila forcipata","NBNSYS0000008354",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila lotensis","Hydroptila lotensis","NBNSYS0000008355",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila martini","Hydroptila martini","NBNSYS0000008356",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila occulta","Hydroptila occulta","NBNSYS0000008357",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila pulchricornis","Hydroptila pulchricornis","NBNSYS0000008358",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila simulans","Hydroptila simulans","NBNSYS0000008359",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila sparsa","Hydroptila sparsa","NBNSYS0000008360",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila sylvestris","Hydroptila sylvestris","NBNSYS0000008361",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila tigurina","Hydroptila tigurina","NBNSYS0000008362",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila tineoides","Hydroptila tineoides","NBNSYS0000008363",,,,,,"3: Needs microscope to ID.  Records from recorders of known experience accepted"
"Hydroptila valesiaca","Hydroptila valesiaca","NBNSYS0000008364",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
"Hydroptila vectis","Hydroptila vectis","NBNSYS0000008365",,,,,,"4: Record needs to be confirmed by national expert.  Voucher specimens may be required"
